FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,
17011,Bureau County,IL,52.2,17048,
20021,Cherokee County,KS,42,8366,
27169,Winona County,MN,58.7,29645,
28139,Tippah County,MS,38.6,8498,
51191,Washington County,VA,53.1,28557,
12019,Clay County,FL,45.1,98991,
51051,Dickenson County,VA,42.7,6120,
51179,Stafford County,VA,50,76462,
48343,Morris County,TX,38.9,4814,
24027,Howard County,MD,75.3,245241,
31165,Sioux County,NE,23.2,270,
17143,Peoria County,IL,55.1,98754,
31047,Dawson County,NE,43.1,10164,
31145,Red Willow County,NE,34.1,3655,
21115,Johnson County,KY,46.5,10311,
39079,Jackson County,OH,42.4,13753,
55115,Shawano County,WI,48.7,19920,
13067,Cobb County,GA,40,303851,
48091,Comal County,TX,54.3,84883,
41019,Douglas County,OR,49.7,55146,
20199,Wallace County,KS,34.6,525,
48389,Reeves County,TX,43.1,6888,
27119,Polk County,MN,52.8,16547,
40051,Grady County,OK,34.5,19251,
40031,Comanche County,OK,55,66434,
30103,Treasure County,MT,43.8,305,
55045,Green County,WI,58.3,21563,
48243,Jeff Davis County,TX,48.9,1112,
48017,Bailey County,TX,35.5,2485,
38031,Foster County,ND,51,1636,
27105,Nobles County,MN,54.8,11856,
48493,Wilson County,TX,47.6,24333,
19037,Chickasaw County,IA,50.7,6053,
45027,Clarendon County,SC,42.9,14465,
54005,Boone County,WV,30.8,6606,
13253,Seminole County,GA,18.6,1502,
1031,Coffee County,AL,36,18829,
19051,Davis County,IA,34.1,3065,
21137,Lincoln County,KY,37.3,9161,
30049,Lewis and Clark County,MT,54,37507,
17043,DuPage County,IL,68.6,633230,
55055,Jefferson County,WI,52.2,44273,
72013,Arecibo Municipio,PR,99.9,95636,
48415,Scurry County,TX,43.1,7201,
20141,Osborne County,KS,39.2,1342,
48297,Live Oak County,TX,39.1,4771,
5115,Pope County,AR,45.5,29148,
10003,New Castle County,DE,60.7,339011,
20069,Gray County,KS,40.5,2427,
48473,Waller County,TX,37.5,20722,
1015,Calhoun County,AL,42.7,48491,
17067,Hancock County,IL,44.1,7816,
6061,Placer County,CA,60.3,240344,
42035,Clinton County,PA,40.8,15771,
38029,Emmons County,ND,31.4,1019,
16021,Boundary County,ID,30.2,3696,
29197,Schuyler County,MO,26.4,1230,
19197,Wright County,IA,52.9,6651,
29041,Chariton County,MO,35.1,2605,
46127,Union County,SD,46.4,7399,
42095,Northampton County,PA,61.4,187459,
26097,Mackinac County,MI,70.9,7655,
8025,Crowley County,CO,20,1210,
5025,Cleveland County,AR,48.3,3842,
22025,Catahoula Parish,LA,37.1,3523,
12021,Collier County,FL,65.1,250457,
54023,Grant County,WV,13.7,1587,
48435,Sutton County,TX,40.6,1534,
37045,Cleveland County,NC,45,44051,
UNK,Unknown County,MI,0,124763,
30007,Broadwater County,MT,30.2,1883,
36105,Sullivan County,NY,54.8,41312,
6053,Monterey County,CA,61.5,267075,
28081,Lee County,MS,40.1,34218,
31151,Saline County,NE,46.7,6643,
6103,Tehama County,CA,37.1,24146,
1085,Lowndes County,AL,43.6,4238,
34021,Mercer County,NJ,62.4,229224,
55041,Forest County,WI,55.3,4979,
47001,Anderson County,TN,51.1,39333,
53007,Chelan County,WA,64.5,49782,
32019,Lyon County,NV,37.8,21746,
12103,Pinellas County,FL,59.9,584230,
8063,Kit Carson County,CO,35.2,2500,
5093,Mississippi County,AR,36.9,15003,
30095,Stillwater County,MT,39.2,3783,
13155,Irwin County,GA,14.6,1376,
UNK,Unknown County,TX,0,138900,
33019,Sullivan County,NH,57.9,25000,
29007,Audrain County,MO,34.1,8659,
19101,Jefferson County,IA,44.7,8171,
48059,Callahan County,TX,34.2,4772,
UNK,Unknown County,MA,0,503732,
17185,Wabash County,IL,44.2,5091,
49043,Summit County,UT,77.3,32565,
29175,Randolph County,MO,34.1,8443,
20143,Ottawa County,KS,37.7,2153,
15007,Kauai County,HI,0,0,
18007,Benton County,IN,39.1,3417,
13221,Oglethorpe County,GA,27.4,4175,
8079,Mineral County,CO,75.6,581,
8043,Fremont County,CO,39.6,18961,
21165,Menifee County,KY,41.1,2666,
37065,Edgecombe County,NC,43.2,22261,
21155,Marion County,KY,45.5,8775,
29099,Jefferson County,MO,40.1,90177,
31119,Madison County,NE,41.8,14668,
12093,Okeechobee County,FL,43,18145,
31139,Pierce County,NE,34.8,2490,
16055,Kootenai County,ID,39.7,65734,
23019,Penobscot County,ME,64.9,98698,
UNK,Unknown County,IA,0,46615,
27005,Becker County,MN,50,17212,
41001,Baker County,OR,67,10810,
13115,Floyd County,GA,18.8,18469,
13135,Gwinnett County,GA,31.9,298530,
55027,Dodge County,WI,47.4,41630,
UNK,Unknown County,OR,0,59542,
28077,Lawrence County,MS,50.5,6351,
46009,Bon Homme County,SD,52.5,3622,
55139,Winnebago County,WI,55.7,95743,
17195,Whiteside County,IL,53.3,29383,
39091,Logan County,OH,39,17813,
21195,Pike County,KY,49,28364,
47003,Bedford County,TN,38.4,19105,
47005,Benton County,TN,40.8,6596,
19061,Dubuque County,IA,59.1,57512,
27087,Mahnomen County,MN,54.7,3024,
8053,Hinsdale County,CO,56.7,465,
53051,Pend Oreille County,WA,37,5084,
17107,Logan County,IL,50,14310,
51730,Petersburg city,VA,33.3,10441,
54057,Mineral County,WV,34.7,9323,
18113,Noble County,IN,36,17197,
22059,La Salle Parish,LA,38.8,5782,
47061,Grundy County,TN,28,3757,
45091,York County,SC,43.5,122250,
48131,Duval County,TX,55,6139,
55085,Oneida County,WI,61.1,21760,
19191,Winneshiek County,IA,57.4,11467,
17101,Lawrence County,IL,38.8,6089,
